# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid,xdd(N),ydd(E),zdd(D),psidd
5.000000000000000000e-01,7.818305485168049185e-03,7.336387240427116353e-04,-1.504568660859384677e+00,0.000000000000000000e+00,7.417941941947291118e-02,6.967093270001790614e-03,-4.334553311283916716e-02,0.000000000000000000e+00,5.464932108498082863e-01,5.144930414770553656e-02,-3.193052432397681106e-01,0.000000000000000000e+00
5.500000000000000444e-01,1.227120364698245161e-02,1.152083698496576911e-03,-1.507170586671490620e+00,0.000000000000000000e+00,1.051924872320964960e-01,9.890262014922717934e-03,-6.146502898662851294e-02,0.000000000000000000e+00,6.971957640692381108e-01,6.579568246713914104e-02,-4.073197436646556202e-01,0.000000000000000000e+00
6.000000000000000888e-01,1.847093959871047922e-02,1.735412545591789391e-03,-1.510793052614784138e+00,0.000000000000000000e+00,1.442067111398015467e-01,1.357822741315775628e-02,-8.425667692311109014e-02,0.000000000000000000e+00,8.663426269957525960e-01,8.203512395449476247e-02,-5.060733318049960294e-01,0.000000000000000000e+00
6.500000000000000222e-01,2.684007546010398759e-02,2.524213603106479666e-03,-1.515682760012454056e+00,0.000000000000000000e+00,1.921100536410690063e-01,1.812451977538132031e-02,-1.122369144464454016e-01,0.000000000000000000e+00,1.052468072885354378e+00,1.001184859790900522e-01,-6.146883316477504966e-01,0.000000000000000000e+00
7.000000000000000666e-01,3.784349706698996590e-02,3.563679999999997891e-03,-1.522110990439666134e+00,0.000000000000000000e+00,2.497025913521701002e-01,2.361959999999976856e-02,-1.458695831076234906e-01,0.000000000000000000e+00,1.253517239296470409e+00,1.199725714285702488e-01,-7.319353520441436167e-01,0.000000000000000000e+00
7.500000000000000000e-01,5.198327052552801503e-02,4.903427197736635358e-03,-1.530370528307435585e+00,0.000000000000000000e+00,3.176662984366893649e-01,3.014972141536842454e-02,-1.855478669124606683e-01,0.000000000000000000e+00,1.466816132230339909e+00,1.415026925094624577e-01,-8.562145013161089890e-01,0.000000000000000000e+00
8.000000000000000444e-01,6.979195184728143042e-02,6.597256781547151776e-03,-1.540771657756772717e+00,0.000000000000000000e+00,3.965334228897233193e-01,3.779591700070788346e-02,-2.315753488252053627e-01,0.000000000000000000e+00,1.689046013580865147e+00,1.645951224224375953e-01,-9.855393077359791976e-01,0.000000000000000000e+00
8.500000000000000888e-01,9.182428651092902627e-02,8.702872631226007613e-03,-1.553637194197978078e+00,0.000000000000000000e+00,4.866537788433327183e-01,4.663310642863238015e-02,-2.841463839107986056e-01,0.000000000000000000e+00,1.916226374317110626e+00,1.891194368793891190e-01,-1.117525902553378803e+00,0.000000000000000000e+00
9.000000000000000222e-01,1.186472572961395910e-01,1.128155532566684285e-02,-1.569296524007976812e+00,0.000000000000000000e+00,5.881614931227853171e-01,5.672931747055913465e-02,-3.433261185365831247e-01,0.000000000000000000e+00,2.143710864449371201e+00,2.149307474294407383e-01,-1.249390125533256457e+00,0.000000000000000000e+00
9.500000000000000666e-01,1.508284711238844777e-01,1.439780036486109846e-02,-1.588078645703070668e+00,0.000000000000000000e+00,7.009419632403456335e-01,6.814501640462265752e-02,-4.090306183146330543e-01,0.000000000000000000e+00,2.366200534444514503e+00,2.418718285609921248e-01,-1.377955203613311808e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.889229188701991302e-01,1.811892552752455629e-02,-1.610304232309408556e+00,0.000000000000000000e+00,8.245999971096801273e-01,8.093254216407387569e-02,-4.810076971860906547e-01,0.000000000000000000e+00,2.577778521729166439e+00,2.697751405469129282e-01,-1.499672519204323873e+00,0.000000000000000000e+00
1.050000000000000044e+00,2.334581956413400994e-01,2.251465242187480204e-02,-1.636276767321783066e+00,0.000000000000000000e+00,9.584303013608577171e-01,9.513563906249905555e-02,-5.588191597417394574e-01,0.000000000000000000e+00,2.771969874862542760e+00,2.984647499999970033e-01,-1.610657716342247747e+00,0.000000000000000000e+00
1.100000000000000089e+00,2.849183317028350371e-01,2.765666703135782889e-02,-1.666272844900924310e+00,0.000000000000000000e+00,1.101391653973259555e+00,1.107890830305492957e-01,-6.418252716664696322e-01,0.000000000000000000e+00,2.941829537746865508e+00,3.277581501057852398e-01,-1.706743984679676140e+00,0.000000000000000000e+00
1.150000000000000133e+00,3.437264544673955813e-01,3.361816380631583306e-02,-1.700531767789712045e+00,0.000000000000000000e+00,1.252086226505346289e+00,1.279183963972272131e-01,-7.291723520559453275e-01,0.000000000000000000e+00,3.080060616105395610e+00,3.574679824998694411e-01,-1.783553812613799749e+00,0.000000000000000000e+00
1.200000000000000178e+00,4.102265774186685254e-01,4.047337760669934142e-02,-1.739244622459040990e+00,0.000000000000000000e+00,1.408745600181974034e+00,1.465396463471318189e-01,-8.197844293734637411e-01,0.000000000000000000e+00,3.179163927941063506e+00,3.874036627567852831e-01,-1.836589817438943673e+00,0.000000000000000000e+00
1.250000000000000000e+00,4.846648897825016622e-01,4.829710755995524074e-02,-1.782543058518693435e+00,0.000000000000000000e+00,1.569225037966611502e+00,1.666593222834195365e-01,-9.123599135516526903e-01,0.000000000000000000e+00,3.231618520232043323e+00,4.173729114576072985e-01,-1.861344455320032232e+00,0.000000000000000000e+00
1.300000000000000044e+00,5.671709978633361349e-01,5.716423666217044369e-02,-1.830488046439128658e+00,0.000000000000000000e+00,1.731007522354236938e+00,1.882742874245944276e-01,-1.005374204603153521e+00,0.000000000000000000e+00,3.230091350072831435e+00,4.471831928033551118e-01,-1.853427508054102724e+00,0.000000000000000000e+00
1.350000000000000089e+00,6.577396415402330110e-01,6.714925071941321710e-02,-1.883058931867981123e+00,0.000000000000000000e+00,1.891218938875104616e+00,2.113718000615939785e-01,-1.097089078742126134e+00,0.000000000000000000e+00,3.167672727365768992e+00,4.766430627413198451e-01,-1.808709266046882425e+00,0.000000000000000000e+00
1.400000000000000133e+00,7.562134734747865128e-01,7.832575999999924488e-02,-1.940143143854274221e+00,0.000000000000000000e+00,2.046655573800905792e+00,2.359295999999976023e-01,-1.185569563737030485e+00,0.000000000000000000e+00,3.038132458153206983e+00,5.055634285714237786e-01,-1.723476314436496182e+00,0.000000000000000000e+00
1.450000000000000178e+00,8.622675399914749850e-01,9.076602674710682050e-02,-2.001526945591504791e+00,0.000000000000000000e+00,2.193824800186691792e+00,2.619160558105342873e-01,-1.268708835330268236e+00,0.000000000000000000e+00,2.836189984006174392e+00,5.337587219997219634e-01,-1.594595825413197110e+00,0.000000000000000000e+00
1.500000000000000000e+00,9.753961372574824207e-01,1.045405014847856917e-01,-2.066887637358572949e+00,0.000000000000000000e+00,2.328999451849712798e+00,2.892903686094251969e-01,-1.344261437706494311e+00,0.000000000000000000e+00,2.557790263479495785e+00,5.610479876061581495e-01,-1.419683313402078095e+00,0.000000000000000000e+00
1.550000000000000044e+00,1.094902730457886442e+00,1.197173708389385471e-01,-2.135787629819816846e+00,0.000000000000000000e+00,2.448285937011736468e+00,3.180028281884527686e-01,-1.409884857339663400e+00,0.000000000000000000e+00,2.200375771812411507e+00,5.872558886936803946e-01,-1.197267973087991377e+00,0.000000000000000000e+00
1.600000000000000089e+00,1.219893613726920734e+00,1.363621193883071681e-01,-2.207670799661551442e+00,0.000000000000000000e+00,2.547705633262609570e+00,3.479951174129999880e-01,-1.463189167911531863e+00,0.000000000000000000e+00,1.763143891440100752e+00,6.122136324858330481e-01,-9.269490462894331984e-01,0.000000000000000000e+00
1.650000000000000133e+00,1.349275951915193339e+00,1.545371078588674840e-01,-2.281861517018298535e+00,0.000000000000000000e+00,2.623288548659368224e+00,3.792006609046640331e-01,-1.501794123797620228e+00,0.000000000000000000e+00,1.247278211867254516e+00,6.357598166399353046e-01,-6.095362034647548999e-01,0.000000000000000000e+00
1.700000000000000178e+00,1.481760779976890152e+00,1.743011697783271030e-01,-2.357566694136302932e+00,0.000000000000000000e+00,2.671177649561183198e+00,4.115450141233976677e-01,-1.523392722725927850e+00,0.000000000000000000e+00,6.561419282454070689e-01,6.577411990429441468e-01,-2.471667251955906863e-01,0.000000000000000000e+00
1.750000000000000000e+00,1.615871441040138468e+00,1.957092285156230016e-01,-2.433881146741861290e+00,0.000000000000000000e+00,2.687741667073214824e+00,4.449462890624955036e-01,-1.525819898608092196e+00,0.000000000000000000e+00,-4.578314333346433784e-03,6.780133928571359103e-01,1.566076336578432482e-01,0.000000000000000000e+00
1.800000000000000044e+00,1.749957820481265802e+00,2.188119364434448766e-01,-2.509796483876501227e+00,0.000000000000000000e+00,2.669693626265379205e+00,4.793156128680889916e-01,-1.507124658840005127e+00,0.000000000000000000e+00,-7.267890950105075909e-01,6.964414887826939626e-01,5.967707922008624877e-01,0.000000000000000000e+00
1.850000000000000089e+00,1.882216582286341255e+00,2.436553377798495179e-01,-2.584213649588574579e+00,0.000000000000000000e+00,2.614211822858781176e+00,5.145576157931748273e-01,-1.465643663215543846e+00,0.000000000000000000e+00,-1.499977131742146419e+00,7.129006065043201890e-01,1.066835438435556060e+00,0.000000000000000000e+00
1.900000000000000133e+00,2.010717438756191466e+00,2.702805564879940392e-01,-2.655959132732927941e+00,0.000000000000000000e+00,2.519059528543048376e+00,5.505709449945569434e-01,-1.400073970944137658e+00,0.000000000000000000e+00,-2.311274365430513011e+00,7.272763772889919709e-01,1.558883907595921769e+00,0.000000000000000000e+00
1.950000000000000178e+00,2.133435289669701973e+00,2.987235104408895170e-01,-2.723804741967184917e+00,0.000000000000000000e+00,2.382699365390752444e+00,5.872488007794380849e-01,-1.309542474558660352e+00,0.000000000000000000e+00,-3.145606829628519563e+00,7.394653597019583691e-01,2.063660264740581951e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.248287858135334272e+00,3.290146528908770573e-01,-2.786490715376896077e+00,0.000000000000000000e+00,2.204398076644859206e+00,6.244794920067427979e-01,-1.193669409837964990e+00,0.000000000000000000e+00,-3.985930146742911795e+00,7.493753904080920902e-01,2.570715314017897768e+00,0.000000000000000000e+00
2.050000000000000266e+00,2.353178234452230289e+00,3.611787421212407367e-01,-2.842751802247638793e+00,0.000000000000000000e+00,1.984317356536432486e+00,6.621470074466320188e-01,-1.052623292131913635e+00,0.000000000000000000e+00,-4.813551340395164857e+00,7.569258720257140416e-01,3.068604328528581338e+00,0.000000000000000000e+00
2.100000000000000089e+00,2.446041524224966235e+00,3.952346399999959736e-01,-2.891345823136986404e+00,0.000000000000000000e+00,1.723586501873698662e+00,7.001315999999925266e-01,-8.871646915294362223e-01,0.000000000000000000e+00,-5.608533237193471521e+00,7.620479999999925091e-01,3.545135204141811602e+00,0.000000000000000000e+00
2.149999999999999911e+00,2.524894591243519226e+00,4.311951400034542137e-01,-2.931084088792814235e+00,0.000000000000000000e+00,1.424352922953483258e+00,7.383103807780782013e-01,-6.986764282764268419e-01,0.000000000000000000e+00,-6.350174182162583669e+00,7.646849304630305433e-01,3.987662569111361410e+00,0.000000000000000000e+00
2.200000000000000178e+00,2.587887698093406907e+00,4.690668251296189473e-01,-2.960862944026113386e+00,0.000000000000000000e+00,1.089807003845466138e+00,7.765579201407913912e-01,-4.891780475325664956e-01,0.000000000000000000e+00,-7.017552259369757905e+00,7.647918910477493615e-01,4.383421220045495836e+00,0.000000000000000000e+00
2.250000000000000000e+00,2.633356686899213539e+00,5.088499559788577375e-01,-2.979695604759587280e+00,0.000000000000000000e+00,7.241784275273573934e-01,8.147468528904971974e-01,-2.613228160274436163e-01,0.000000000000000000e+00,-7.590119851820750441e+00,7.623362366226875686e-01,4.719890201015790154e+00,0.000000000000000000e+00
2.300000000000000266e+00,2.659874217387422135e+00,5.505383891416005815e-01,-2.986743380251212887e+00,0.000000000000000000e+00,3.327018668949809910e-01,8.527484849165736236e-01,-1.837596458254027107e-02,0.000000000000000000e+00,-8.048331354207357791e+00,7.572974519148119033e-01,4.985176995355591778e+00,0.000000000000000000e+00
2.350000000000000089e+00,2.666298497100268783e+00,5.941195259000280338e-01,-2.981345322533081710e+00,0.000000000000000000e+00,-7.844913246792847850e-02,8.904333986842889459e-01,2.358265329411138034e-01,0.000000000000000000e+00,-8.374284325270407336e+00,7.496671029874597547e-01,5.168409754929031763e+00,0.000000000000000000e+00
2.400000000000000355e+00,2.651817905388228258e+00,6.395742911228546879e-01,-2.963045325253331086e+00,0.000000000000000000e+00,-5.022602160464637588e-01,9.276720550599311110e-01,4.969387192950218690e-01,0.000000000000000000e+00,-8.552352477062159508e+00,7.394487395405261454e-01,5.260124337289863838e+00,0.000000000000000000e+00
2.450000000000000178e+00,2.615989933452774530e+00,6.868771421093680107e-01,-2.931615707233438783e+00,0.000000000000000000e+00,-9.310052572070939281e-01,9.643353890624903890e-01,7.601843463469657447e-01,0.000000000000000000e+00,-8.569787769116274490e+00,7.266577499999942180e-01,5.252632232402229207e+00,0.000000000000000000e+00
2.500000000000000000e+00,2.558772940006506236e+00,7.359961070208591583e-01,-2.887076363863966044e+00,0.000000000000000000e+00,-1.356404246424861348e+00,1.000295397230527739e+00,1.020454192369502078e+00,0.000000000000000000e+00,-8.417268601425323737e+00,7.113211713639308043e-01,5.140355295579298378e+00,0.000000000000000000e+00
2.550000000000000266e+00,2.480549356737194788e+00,7.868928524244658274e-01,-2.829708652363945642e+00,0.000000000000000000e+00,-1.769806774135926242e+00,1.035425714391238428e+00,1.272418999394981265e+00,0.000000000000000000e+00,-8.089371742215778482e+00,6.934774557720591037e-01,4.920113599345710576e+00,0.000000000000000000e+00
2.600000000000000089e+00,2.382139168095813719e+00,8.395227793662588534e-01,-2.760063293929421846e+00,0.000000000000000000e+00,-2.162396765841125390e+00,1.069602177717069891e+00,1.510655363434824539e+00,0.000000000000000000e+00,-7.584947207281913073e+00,6.731761957659879725e-01,4.591353687772502745e+00,0.000000000000000000e+00
2.650000000000000355e+00,2.264802732028067034e+00,8.938351472871536307e-01,-2.678961724470482864e+00,0.000000000000000000e+00,-2.525413147700174221e+00,1.102703376053584039e+00,1.729781310600096766e+00,0.000000000000000000e+00,-6.907377808150017451e+00,6.504778102072785728e-01,4.156306050826027665e+00,0.000000000000000000e+00
2.700000000000000178e+00,2.130232295896130168e+00,9.497732249968084961e-01,-2.587490502156399863e+00,0.000000000000000000e+00,-2.850380287299203008e+00,1.134611182600672397e+00,1.924597782448551397e+00,0.000000000000000000e+00,-6.064708445275726945e+00,6.254531928203548308e-01,3.620062695820688070e+00,0.000000000000000000e+00
2.750000000000000000e+00,1.980531886615838788e+00,1.007274467827329989e+00,-2.486988579219264750e+00,0.000000000000000000e+00,-3.129341408070115182e+00,1.165211269127497618e+00,2.090231859028672368e+00,0.000000000000000000e+00,-5.069634337236913701e+00,5.981833253274893014e-01,2.990568215298236687e+00,0.000000000000000000e+00
2.800000000000000266e+00,1.818185605707564045e+00,1.066270719999990124e+00,-2.379027461120583276e+00,0.000000000000000000e+00,-3.355087751411720109e+00,1.194393599999989508e+00,2.222277289164368952e+00,0.000000000000000000e+00,-3.939342106798328302e+00,5.687588571428540130e-01,2.278520649381879704e+00,0.000000000000000000e+00
2.850000000000000089e+00,1.646014726737186296e+00,1.126688441154616971e+00,-2.265384501037497778e+00,0.000000000000000000e+00,-3.521376084451651067e+00,1.222052904397968431e+00,2.316927790766333484e+00,0.000000000000000000e+00,-2.695202816152734826e+00,5.372796535928530126e-01,1.497181609493685617e+00,0.000000000000000000e+00
