# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid,xdd(N),ydd(E),zdd(D),psidd
5.000000000000000000e-01,-3.267969228559763906e-08,3.131119223623795396e-04,-1.500000000000000000e+00,0.000000000000000000e+00,-6.309492971058942188e-07,3.022637777249090503e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.087282440257571274e-05,2.290841135615123356e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,-8.187072220167124215e-08,4.955927358056321300e-04,-1.500000000000000000e+00,0.000000000000000000e+00,-1.431605446121488073e-06,4.333009539546314390e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.232235387561871988e-05,2.967871440382837886e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000888e-01,-1.887464158301099815e-07,7.524886789703015815e-04,-1.500000000000000000e+00,0.000000000000000000e+00,-3.013955280517308698e-06,6.007973911433601120e-03,0.000000000000000000e+00,0.000000000000000000e+00,-4.287433774981292301e-05,3.749656269454944985e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-01,-4.057929841039253915e-07,1.103348896696019826e-03,-1.500000000000000000e+00,0.000000000000000000e+00,-5.958447991475613777e-06,8.100492596748767524e-03,0.000000000000000000e+00,0.000000000000000000e+00,-7.786363563680001360e-05,4.638370165488878150e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,-8.220457683449922115e-07,1.570393781484126332e-03,-1.500000000000000000e+00,0.000000000000000000e+00,-1.116485118899779549e-05,1.066437463197971933e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.348163621972780070e-04,5.635237643513099637e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,-1.582021298407454424e-06,2.178545705793874781e-03,-1.500000000000000000e+00,0.000000000000000000e+00,-1.997556528492512226e-05,1.375381578909731610e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.240100314155087221e-04,6.740590503125540311e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,-2.911539630057191630e-06,2.955437431801814785e-03,-1.500000000000000000e+00,0.000000000000000000e+00,-3.432839072605051395e-05,1.742296608499431868e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.590901239697201833e-04,7.953922904362298318e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,-5.151976387063328389e-06,3.931399574958317419e-03,-1.500000000000000000e+00,0.000000000000000000e+00,-5.694134001703619668e-05,2.172552421513162038e-02,0.000000000000000000e+00,0.000000000000000000e+00,-5.577335404455664811e-04,9.273943936459612403e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,-8.804600719169997092e-06,5.139428434811002880e-03,-1.500000000000000000e+00,0.000000000000000000e+00,-9.153155654721960733e-05,2.671435757176171891e-02,0.000000000000000000e+00,0.000000000000000000e+00,-8.423473264064760841e-04,1.069862731925114024e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000000666e-01,-1.458674319732011782e-05,6.615135434669691152e-03,-1.500000000000000000e+00,0.000000000000000000e+00,-1.430697755776922742e-04,3.244114630212077688e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.240789267024247720e-03,1.222525777578526845e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-2.350159202202384279e-05,8.396679328237949616e-03,-1.500000000000000000e+00,0.000000000000000000e+00,-2.180710542912845144e-04,3.895604960403073469e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.787095467296427945e-03,1.385047350455022308e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.050000000000000044e+00,-3.692343315275792293e-05,1.052468223358553508e-02,-1.500000000000000000e+00,0.000000000000000000e+00,-3.249217230559917503e-04,4.630739214179863117e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.522198863266090357e-03,1.557030406417604651e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000089e+00,-5.670012710523586463e-05,1.304213043990522063e-02,-1.500000000000000000e+00,0.000000000000000000e+00,-4.742416843990940128e-04,5.454136809262171565e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.494621741847740194e-03,1.738020286738567455e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.150000000000000133e+00,-8.527455006901440981e-05,1.599426079749704729e-02,-1.500000000000000000e+00,0.000000000000000000e+00,-6.792803243254372627e-04,6.370175990400073207e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.761124762064991231e-03,1.927507336995563647e-01,0.000000000000000000e+00,0.000000000000000000e+00
