# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid,xdd(N),ydd(E),zdd(D),psidd
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.174919124418476543e-08,1.393954186118236994e-09,-1.500000012185368492e+00,0.000000000000000000e+00,2.159968024254677095e-06,1.395227454467565426e-07,-1.210350972600024284e-06,0.000000000000000000e+00,1.710111147690377721e-04,1.117661901568190124e-05,-9.585001641600191164e-05,0.000000000000000000e+00
1.000000000000000056e-01,6.723627216275568545e-07,4.479124792749302036e-08,-1.500000377003171792e+00,0.000000000000000000e+00,3.315207880406988823e-05,2.242880178710346011e-06,-1.859494210560037208e-05,0.000000000000000000e+00,1.298365084059105272e-03,8.989936106275765552e-05,-7.286181396480145020e-04,0.000000000000000000e+00
1.500000000000000222e-01,4.931113592962770115e-06,3.412530880486102085e-07,-1.500002767224506206e+00,0.000000000000000000e+00,1.609236674743434736e-04,1.139471812493094472e-05,-9.035298418860185019e-05,0.000000000000000000e+00,4.155256629876673789e-03,3.045338280820643513e-04,-2.334894986592047327e-03,0.000000000000000000e+00
2.000000000000000111e-01,2.006301906578855383e-05,1.441597335537379790e-06,-1.500011268507566164e+00,0.000000000000000000e+00,4.874329329516958152e-04,3.609977546865902794e-05,-2.739652263936054517e-04,0.000000000000000000e+00,9.331957178896147995e-03,7.233413396232689190e-04,-5.251000172544104463e-03,0.000000000000000000e+00
2.500000000000000000e-01,5.909821586702759073e-05,4.406840063392610839e-06,-1.500033222207031169e+00,0.000000000000000000e+00,1.139950089485101872e-03,8.825189003177390040e-05,-6.414236718750127800e-04,0.000000000000000000e+00,1.725355966952447223e-02,1.413462454220138810e-03,-9.722632500000192440e-03,0.000000000000000000e+00
3.000000000000000444e-01,1.418982063082774845e-04,1.097585336024238317e-05,-1.500079841531934743e+00,0.000000000000000000e+00,2.263223736782640078e-03,1.830543684588255835e-04,-1.274931821721626054e-03,0.000000000000000000e+00,2.819684558921328049e-02,2.439987602656828319e-03,-1.591404259737632179e-02,0.000000000000000000e+00
3.500000000000000333e-01,2.958511467846794874e-04,2.372791545582973158e-05,-1.500166623985720982e+00,0.000000000000000000e+00,4.012469025426541359e-03,3.388960148560438471e-04,-2.263051823772645882e-03,0.000000000000000000e+00,4.230629285001101525e-02,3.865112399192916111e-03,-2.391673816828847679e-02,0.000000000000000000e+00
4.000000000000000222e-01,5.562362022199119228e-04,4.623804093935918907e-05,-1.500313581853736977e+00,0.000000000000000000e+00,6.547135124688365469e-03,5.771869912336467442e-04,-3.697275410841673916e-03,0.000000000000000000e+00,5.960924311034759837e-02,5.747375196814948767e-03,-3.375773201203266516e-02,0.000000000000000000e+00
4.500000000000000111e-01,9.662948886384337003e-04,8.322318445176358169e-05,-1.500545311360322653e+00,0.000000000000000000e+00,1.002541043025572537e-02,9.221585611044665629e-04,-5.668996020924713282e-03,0.000000000000000000e+00,8.003024715104405107e-02,8.140974452582222173e-03,-4.540734297590490187e-02,0.000000000000000000e+00
5.000000000000000000e-01,1.577045271181667626e-03,1.406776107581865878e-04,-1.500890920000000017e+00,0.000000000000000000e+00,1.459942487978162402e-02,1.400630645895298331e-03,-8.266860000000163938e-03,0.000000000000000000e+00,1.034046069135394763e-01,1.109516346913453667e-02,-5.878656000000116039e-02,0.000000000000000000e+00
5.500000000000000444e-01,2.446872876540356467e-03,2.259959175473810582e-04,-1.501383830454986912e+00,0.000000000000000000e+00,2.041110967456710029e-02,2.041751002130764818e-03,-1.157447529606083630e-02,0.000000000000000000e+00,1.294911328083280799e-01,1.465372007842970746e-02,-7.377397941513745561e-02,0.000000000000000000e+00
6.000000000000000888e-01,3.640930216950845864e-03,3.480823846602975301e-04,-1.502061478444400633e+00,0.000000000000000000e+00,2.758867563608745702e-02,2.876709705652874538e-03,-1.566845656104991907e-02,0.000000000000000000e+00,1.579841349015984331e-01,1.885448883377848980e-02,-9.021232565452982910e-02,0.000000000000000000e+00
6.500000000000000222e-01,5.230374907598564320e-03,5.174455047208805988e-04,-1.502964920809044758e+00,0.000000000000000000e+00,3.624367235647201618e-02,3.938432507442845079e-03,-2.061678608540501098e-02,0.000000000000000000e+00,1.885246665880676020e-01,2.372899327624474961e-02,-1.079145655398741355e-01,0.000000000000000000e+00
7.000000000000000666e-01,7.291474490487451048e-03,7.462767253280076524e-04,-1.504138369119611074e+00,0.000000000000000000e+00,4.646859123244712064e-02,5.261256503915145467e-03,-2.647747049794613519e-02,0.000000000000000000e+00,2.207110393580032914e-01,2.930211584147863341e-02,-1.266696263024665314e-01,0.000000000000000000e+00
7.500000000000000000e-01,9.904604255569531696e-03,1.048512602068576126e-03,-1.505628663105468945e+00,0.000000000000000000e+00,5.833497640265104117e-02,6.880591442857086210e-03,-3.329747367187566032e-02,0.000000000000000000e+00,2.541086272664241363e-01,3.559184297305029165e-02,-1.462477275000028942e-01,0.000000000000000000e+00
8.000000000000000444e-01,1.315316257418434193e-02,1.439879724628014956e-03,-1.507484697235947690e+00,0.000000000000000000e+00,7.189200853863045304e-02,8.832569864490711839e-03,-4.111190678569043300e-02,0.000000000000000000e+00,2.882589797124743280e-01,4.260907300835223288e-02,-1.664053369896993095e-01,0.000000000000000000e+00
8.500000000000000888e-01,1.712242653063327305e-02,1.937921935205895799e-03,-1.509756812846163587e+00,0.000000000000000000e+00,8.716552737022593977e-02,1.115368915543706908e-02,-4.994345699583761095e-02,0.000000000000000000e+00,3.226882611369616405e-01,5.035748440313760760e-02,-1.868897611183717167e-01,0.000000000000000000e+00
9.000000000000000222e-01,2.189836895500935771e-02,2.562009509290926780e-03,-1.512496167284981929e+00,0.000000000000000000e+00,1.041574597564554061e-01,1.388044847166640741e-02,-5.980203668597878358e-02,0.000000000000000000e+00,3.569150362460528081e-01,5.883346186076269385e-02,-2.074433792901161089e-01,0.000000000000000000e+00
9.500000000000000666e-01,2.756645632421842601e-02,3.333330113611374448e-03,-1.515754090673653298e+00,0.000000000000000000e+00,1.228456210434024504e-01,1.704898336482115959e-02,-7.068463576575802210e-02,0.000000000000000000e+00,3.904574193691197626e-01,6.802607793220086241e-02,-2.278075330722285075e-01,0.000000000000000000e+00
